hc_date,day,PCA_1,PCA_2
2021-03-03 00:00:00+01:00,03/03/2021,-1.4753875829864604,-2.881544315806279
2021-03-03 01:00:00+01:00,03/03/2021,-1.6693257300285949,-2.789163125964663
2021-03-03 02:00:00+01:00,03/03/2021,-0.7900821353350661,-2.9385043608806316
2021-03-03 03:00:00+01:00,03/03/2021,-0.6036389755744594,-3.615233248774958
2021-03-03 04:00:00+01:00,03/03/2021,0.8583094356184734,-3.336034017324328
2021-03-03 05:00:00+01:00,03/03/2021,1.1958322500506662,-3.0667317705252772
2021-03-03 06:00:00+01:00,03/03/2021,1.3364042066097552,-2.900085548448167
2021-03-03 07:00:00+01:00,03/03/2021,1.0034105590820726,-3.1336233210452646
2021-03-03 08:00:00+01:00,03/03/2021,1.6483805113214807,-2.7971616383589133
2021-03-03 09:00:00+01:00,03/03/2021,1.940147983216781,-2.787292518871196
2021-03-03 10:00:00+01:00,03/03/2021,2.073874258959705,-2.789608347214536
2021-03-03 11:00:00+01:00,03/03/2021,1.6780408217674743,-2.8063237409541926
2021-03-03 12:00:00+01:00,03/03/2021,1.579182670150385,-2.752917595934619
2021-03-03 13:00:00+01:00,03/03/2021,1.43043196397208,-2.6959128567649087
2021-03-03 14:00:00+01:00,03/03/2021,-0.2684883274560236,-2.343229762159788
2021-03-03 15:00:00+01:00,03/03/2021,-1.4355113421698205,-2.3619626100715005
2021-03-03 16:00:00+01:00,03/03/2021,-1.7120295644637968,-2.6684455958441182
2021-03-03 17:00:00+01:00,03/03/2021,-1.6956681268459137,-2.4221227790288933
2021-03-03 18:00:00+01:00,03/03/2021,-1.5881613336651264,-3.290100058895818
2021-03-03 19:00:00+01:00,03/03/2021,-1.789237985387864,-2.835277312769945
2021-03-03 20:00:00+01:00,03/03/2021,-1.6083970002393233,-2.9996519876071823
2021-03-03 21:00:00+01:00,03/03/2021,-1.6758554843953068,-3.3842248184219117
2021-03-03 22:00:00+01:00,03/03/2021,-1.6899656747990892,-2.9879428827798926
2021-03-03 23:00:00+01:00,03/03/2021,-1.6775937434887438,-3.150211057423444
2021-03-04 00:00:00+01:00,04/03/2021,-1.599611214772242,-3.282748839610652
2021-03-04 01:00:00+01:00,04/03/2021,-1.7270633830779998,-3.2289885665003344
2021-03-04 02:00:00+01:00,04/03/2021,-0.8376336523151512,-3.0867662510981226
2021-03-04 03:00:00+01:00,04/03/2021,0.1513297286231963,-3.241366486093665
2021-03-04 04:00:00+01:00,04/03/2021,3.1378065861222035,-4.4242196581036435
2021-03-04 05:00:00+01:00,04/03/2021,3.448664502641078,-3.7100644091484294
2021-03-04 06:00:00+01:00,04/03/2021,3.8948226589091597,-2.9865301430174767
2021-03-04 07:00:00+01:00,04/03/2021,5.052483926624034,-3.094584107791176
2021-03-04 08:00:00+01:00,04/03/2021,3.8389336976979127,-2.7500075363469243
2021-03-04 09:00:00+01:00,04/03/2021,3.936792196945913,-2.6542774456672062
2021-03-04 10:00:00+01:00,04/03/2021,4.501173075069553,-2.6037582613497405
2021-03-04 11:00:00+01:00,04/03/2021,4.484088501838554,-2.5255641726065075
2021-03-04 12:00:00+01:00,04/03/2021,4.3826947485937335,-2.2346478227591406
2021-03-04 13:00:00+01:00,04/03/2021,4.7260326488721,-2.1941204653182313
2021-03-04 14:00:00+01:00,04/03/2021,0.6169174867729291,-1.8546792668114962
2021-03-04 15:00:00+01:00,04/03/2021,-0.061672272153778816,-1.7666722651379265
2021-03-04 16:00:00+01:00,04/03/2021,-0.6627607018448393,-2.2765058507335647
2021-03-04 17:00:00+01:00,04/03/2021,-0.6970861037701214,-2.089071961841201
2021-03-04 18:00:00+01:00,04/03/2021,-0.6187502384865657,-2.309732842970087
2021-03-04 19:00:00+01:00,04/03/2021,-0.936257812064878,-2.6886837853204506
2021-03-04 20:00:00+01:00,04/03/2021,-0.9792785140479566,-2.4719233108217225
2021-03-04 21:00:00+01:00,04/03/2021,-1.1132626429957888,-3.1385933403649986
2021-03-04 22:00:00+01:00,04/03/2021,-1.0634241828903805,-2.5207315533882455
2021-03-04 23:00:00+01:00,04/03/2021,-1.158747290107155,-2.831701890994255
2021-03-05 00:00:00+01:00,05/03/2021,-1.1665775236626512,-3.166422716249893
2021-03-05 01:00:00+01:00,05/03/2021,-1.2460660235897658,-3.4775412053986634
2021-03-05 02:00:00+01:00,05/03/2021,-0.08730477987382969,-3.15139820054971
2021-03-05 03:00:00+01:00,05/03/2021,0.24889976399238617,-4.0309486689489
2021-03-05 04:00:00+01:00,05/03/2021,3.920507600857051,-3.8766337846305676
2021-03-05 05:00:00+01:00,05/03/2021,3.8294314292680194,-3.2998688911205076
2021-03-05 06:00:00+01:00,05/03/2021,4.25406737189428,-3.5854875804888966
2021-03-05 07:00:00+01:00,05/03/2021,4.282435073126328,-2.9909984647221117
2021-03-05 08:00:00+01:00,05/03/2021,5.433681650807856,-3.023380708682955
2021-03-05 09:00:00+01:00,05/03/2021,2.040310483837801,-2.4925994136657184
2021-03-05 10:00:00+01:00,05/03/2021,3.151494607174841,-2.4787136549923265
2021-03-05 11:00:00+01:00,05/03/2021,3.2766139101967156,-2.4500850404636205
2021-03-05 12:00:00+01:00,05/03/2021,3.44852843984009,-2.2108061191748782
2021-03-05 13:00:00+01:00,05/03/2021,3.2842920113373366,-2.1925082425947093
2021-03-05 14:00:00+01:00,05/03/2021,-0.7945680151745244,-1.7772059559789641
2021-03-05 15:00:00+01:00,05/03/2021,-1.5379212979638883,-1.6962968103256155
2021-03-05 16:00:00+01:00,05/03/2021,-1.6470421575781915,-1.69731091186072
2021-03-05 17:00:00+01:00,05/03/2021,-1.582542930441548,-1.789949615641535
2021-03-05 18:00:00+01:00,05/03/2021,-1.5853990285854047,-2.943372637662757
2021-03-05 19:00:00+01:00,05/03/2021,-1.8317743787121639,-2.8633093816275226
2021-03-05 20:00:00+01:00,05/03/2021,-1.828090175090587,-2.749599102058124
2021-03-05 21:00:00+01:00,05/03/2021,-1.8554998946421877,-2.5969126023611264
2021-03-05 22:00:00+01:00,05/03/2021,-1.8439424772182031,-2.4558332500657007
2021-03-05 23:00:00+01:00,05/03/2021,-1.9030102255958348,-2.412073434513009
2021-03-06 00:00:00+01:00,06/03/2021,-1.8598649596410226,-2.313275731548003
2021-03-06 01:00:00+01:00,06/03/2021,-1.9313124668490889,-2.253159220632104
2021-03-06 02:00:00+01:00,06/03/2021,-1.9095963013273975,-2.25183512864196
2021-03-06 03:00:00+01:00,06/03/2021,-1.9317043579543136,-2.2129153826710852
2021-03-06 04:00:00+01:00,06/03/2021,-1.5227239711529297,-2.252662917200998
2021-03-06 05:00:00+01:00,06/03/2021,-1.297208785426955,-3.020421164316781
2021-03-06 06:00:00+01:00,06/03/2021,-1.2739518338182825,-3.1518676190282218
2021-03-06 07:00:00+01:00,06/03/2021,-1.2809333266283986,-3.27304702916289
2021-03-06 08:00:00+01:00,06/03/2021,-1.0050562663333844,-2.5831308458665454
2021-03-06 09:00:00+01:00,06/03/2021,-0.9638398676269573,-2.369040200478613
2021-03-06 10:00:00+01:00,06/03/2021,-1.0160268539122757,-2.2571074153249793
2021-03-06 11:00:00+01:00,06/03/2021,-1.1774538607426634,-2.645347190023636
2021-03-06 12:00:00+01:00,06/03/2021,-1.3894037584639427,-2.7455229724504204
2021-03-06 13:00:00+01:00,06/03/2021,-1.6786106726905197,-2.6018550035720143
2021-03-06 14:00:00+01:00,06/03/2021,-1.7524935680192246,-2.461570444368082
2021-03-06 15:00:00+01:00,06/03/2021,-1.8168725300153485,-2.292148161953301
2021-03-06 16:00:00+01:00,06/03/2021,-1.8319970535982348,-2.279703875523207
2021-03-06 17:00:00+01:00,06/03/2021,-1.8626242178034602,-2.16602154235127
2021-03-06 18:00:00+01:00,06/03/2021,-1.845817857117296,-2.1522540627939297
2021-03-06 19:00:00+01:00,06/03/2021,-1.8788482072111947,-2.1058716824249473
2021-03-06 20:00:00+01:00,06/03/2021,-1.8546592191927544,-2.037591647643403
2021-03-06 21:00:00+01:00,06/03/2021,-1.8979377049923494,-2.0262649130700683
2021-03-06 22:00:00+01:00,06/03/2021,-1.8753093417975626,-2.0094023154271485
2021-03-06 23:00:00+01:00,06/03/2021,-1.8637954589660164,-1.7702400742349689
2021-03-07 00:00:00+01:00,07/03/2021,-1.8391105245580188,-1.7994520858748868
2021-03-07 01:00:00+01:00,07/03/2021,-1.944084391020441,-1.8617708007858322
2021-03-07 02:00:00+01:00,07/03/2021,-1.8501950560696625,-1.6875053612637516
2021-03-07 03:00:00+01:00,07/03/2021,-1.8554307721594883,-1.6963115578501757
2021-03-07 04:00:00+01:00,07/03/2021,-1.365857856720568,-1.8302552378608137
2021-03-07 05:00:00+01:00,07/03/2021,-1.426037292023532,-3.2095080212809783
2021-03-07 06:00:00+01:00,07/03/2021,-1.1599374879922812,-2.8609480071370776
2021-03-07 07:00:00+01:00,07/03/2021,-1.1487180288536467,-2.812697839563609
2021-03-07 08:00:00+01:00,07/03/2021,-1.1585626908656632,-2.7384198787674023
